finding_id,category,severity,status,file_line,title,first_seen,last_confirmed,resolved_date,notes
TMR-001,TC-05,P0,open,"anvil/services/training/training.py:393","TrainingService._queues created unbounded — no maxsize",2026-06-21,2026-06-21,,"Set asyncio.Queue(maxsize=1024) and handle QueueFull on producer side — drop stale metrics when consumer is slow/disconnected"
TMR-002,TC-05,P0,open,"anvil/api/v1/content.py:57","_injection_queue unbounded — no maxsize",2026-06-21,2026-06-21,,"Set asyncio.Queue(maxsize=128) and catch QueueFull on put_nowait call"
TMR-003,TC-03,P1,open,"anvil/services/training/training.py:267,290,381","asyncio.run() inside sync methods called via run_in_executor — latent fragility",2026-06-21,2026-06-21,,"Document that _load_docs MUST be called from thread pool worker, not event loop; or refactor to make async"
TMR-004,TC-03,P1,open,"anvil/services/inference/demo_model_provider.py:103,365","asyncio.run() in demo model provider — ThreadPoolExecutor workaround for running loop",2026-06-21,2026-06-21,,"Document running-loop workaround; consider making _load_demo_docs async to eliminate workaround"
TMR-005,TC-06,P1,open,"anvil/api/v1/training.py:362,582","MPSSamplerThread not stopped on normal completion — only stopped in exception handler",2026-06-21,2026-06-21,,"Add mps_thread.stop() in finally: block at end of _run_training() or attach to _cleanup callback at line 587"
TMR-006,TC-04,P1,open,"anvil/services/training/training.py:48,516-518","No mid-step cancellation — threading.Event checked only at step boundaries",2026-06-21,2026-06-21,,"Document as known limitation; consider SIGINT handler for mid-step cancellation — steps are fast so risk is low"
TMR-007,TC-06,P1,open,"anvil/api/app.py:152-154","No task cancellation or queue drainage on FastAPI lifespan shutdown",2026-06-21,2026-06-21,,"Cancel in-flight _tasks and call supervisor.stop_all() in lifespan shutdown; signal/drain training queues"
TMR-008,TC-02,P2,open,"anvil/services/training/training.py:47,393,558","TrainingService._queues dict — shared state accessed from multiple threads",2026-06-21,2026-06-21,,"Dict only mutated on event loop thread; progress_callback captures queue ref at closure creation time — add doc comment"
TMR-009,TC-02,P2,open,"anvil/services/inference/demo_model_provider.py:264-265,292-293","_demo_provider._model/_chars — warmup thread writes without _DEMO_TRAIN_LOCK",2026-06-21,2026-06-21,,"Warmup thread writes _demo_provider._model and _chars at lines 264-265 without holding lock — races with get_model() first check at line 307"
TMR-010,TC-07,P2,open,"anvil/services/inference/demo_model_provider.py:360-371","ThreadPoolExecutor workaround for running event loop — creates new pool per invocation",2026-06-21,2026-06-21,,"Move ThreadPoolExecutor to module-level singleton to avoid repeated creation; document pattern"
TMR-011,TC-01,P2,open,"anvil/api/app.py:143-147","Demo model warmup daemon thread — fire-and-forget, no stop mechanism",2026-06-21,2026-06-21,,"Daemon thread doesn't prevent exit; try/except inside mitigates unhandled exceptions. Consider join with timeout on shutdown."
TMR-012,TC-08,P2,open,"anvil/services/inference/demo_model_provider.py:36,311","_DEMO_TRAIN_LOCK with double-checked locking — training held under lock for 30-60s",2026-06-21,2026-06-21,,"Move training outside lock; use asyncio.Lock for request-level concurrency instead of threading.Lock"
TMR-013,TC-02,P2,open,"anvil/supervisor/supervisor.py:23,131","_PID_DIR and _processes — module-level mutable state",2026-06-21,2026-06-21,,"Rename _PID_DIR to PID_DIR (constant); document single-thread access pattern for _processes dict"
TMR-014,TC-01,INFO,open,"anvil/services/tracking/mps_sampler_thread.py:19,44","MPSSamplerThread — dedicated daemon thread with own event loop",2026-06-21,2026-06-21,,"Reference implementation for thread+loop pattern. Daemon thread with new_event_loop() and finally: loop.close()."
TMR-015,TC-07,INFO,open,"anvil/services/tracking/mps_sampler_thread.py:59-81","MPSSamplerThread creates own event loop — correct pattern",2026-06-21,2026-06-21,,"Correct pattern: new_event_loop() + run_until_complete() + finally: close(). No cross-loop confusion."
TMR-016,TC-07,INFO,open,"anvil/services/tracking/tracking.py","asyncio.get_event_loop() used 24+ times — should migrate to get_running_loop()",2026-06-21,2026-06-21,,"Pervasive style issue in Python 3.10+. get_running_loop() preferred. All call sites are in async functions on main event loop — functionally correct."
TMR-017,TC-02,INFO,open,"anvil/supervisor/services.py:47","MLflowService.process — single-thread access to subprocess reference",2026-06-21,2026-06-21,,"Only accessed from lifespan startup/shutdown (sequential). No concurrent access. INFO-level documentation finding."
TMR-018,TC-01,INFO,open,"anvil/api/v1/training.py:584","asyncio.create_task for training run — has cleanup callback, no shutdown cancellation",2026-06-21,2026-06-21,,"Task has add_done_callback(_cleanup) but is not explicitly cancelled on FastAPI shutdown."
TMR-019,TC-08,P1,open,"anvil/api/v1/health_ops.py:60","_bootstrap_lock TOCTOU race in rebootstrap_demo — check before acquire allows concurrent requests",2026-06-21,2026-06-21,,"Remove the `if not _bootstrap_lock.locked()` check; use `async with _bootstrap_lock:` directly. Bootstrap is idempotent so data corruption risk is low, but 409 response is unreliable."
TMR-020,TC-07,P2,open,"anvil/cli.py:276","asyncio.get_event_loop() from sync callback in worker thread — deprecated and may fail",2026-06-21,2026-06-21,,"Replace get_event_loop()+create_task() with run_coroutine_threadsafe(). try/except Exception swallows errors silently — CLI training path only."
TMR-021,TC-07,INFO,open,"anvil/services/tracking/mps_sampler_thread.py:59","new_event_loop() without set_event_loop() — intentional isolation",2026-06-21,2026-06-21,,"Loop is used via direct reference (self._loop.run_until_complete) — no code calls get_event_loop() from this thread. Add comment explaining isolation."
